,planet,inst,calltype,obstype,Rp,Teq
0,WASP-43 b,MIRI,GO,transit,0.93,1379.17
1,WASP-39 b,NIRCam,GO,transit,1.27,1120.55
2,WASP-18 b,NIRISS,GO,transit,1.191,2420.2
3,WASP-39 b,NIRISS,GO,transit,1.27,1120.55
4,WASP-39 b,NIRSpec,GO,transit,1.27,1120.55
5,WASP-39 b,NIRSpec,GO,transit,1.27,1120.55
6,GJ 357 b,NIRSpec,GO,transit,0.109,526.78
7,HD 15337 b,NIRSpec,GO,transit,0.146,1003.09
8,HD 15337 c,NIRSpec,GO,transit,0.213,643.6
9,L 168-9 b,NIRSpec,GO,transit,0.124,981.56
10,L 98-59 c,NIRSpec,GO,transit,0.12,514.51
11,LTT 1445 A b,NIRSpec,GO,transit,0.123,436.39
12,TOI 260.01,NIRSpec,GO,transit,0.146239375,498.1
13,TOI 776 b,NIRSpec,GO,transit,0.165,514.71
14,TOI 776 c,NIRSpec,GO,transit,0.18,415.61
15,TOI 836.01,NIRSpec,GO,transit,0.23152821428571432,637.15
16,TOI 836.02,NIRSpec,GO,transit,0.16188669642857145,835.08
17,GJ 1214 b,MIRI,GO,transit,0.254,576.17
18,LTT 1445 A b,MIRI,GO,transit,0.123,436.39
19,55 Cnc e,NIRCam,GO,transit,0.167,1945.95
20,LHS 1140 b,NIRSpec,GO,transit,0.131011,219.88
21,LHS 1140 b,NIRSpec,GO,transit,0.131011,219.88
22,K2-141 b,MIRI,GO,transit,0.140049,2023.11
23,HD 189733 b,MIRI,GO,transit,1.13,1192.49
24,HD 189733 b,NIRCam,GO,transit,1.13,1192.49
25,HD 189733 b,NIRCam,GO,transit,1.13,1192.49
26,V1298 Tau b,NIRSpec,GO,transit,0.916,675.24
27,V1298 Tau c,NIRSpec,GO,transit,0.499,964.36
28,WASP-63 b,NIRISS,GO,transit,1.41,1523.45
29,K2-141 b,NIRSpec,GO,transit,0.140049,2023.11
30,Kepler-51 b,NIRSpec,GO,transit,0.633,561.13
